iter,zeta,f,pen,residual,grad_norm,z,alm
1,5.0,-0.3917337228947496,0.04872409081695841,0.22073534111455376,0.0,0.3917337228947496,-0.14811326880995757
2,12.5,-0.24693734683085464,0.01831035485487896,0.1353157598170995,0.05170947370044326,0.24693734683085464,0.1222251524253064
3,31.25,-0.15563560930701606,0.0035103947887309504,0.059248584698125495,0.23930893175524853,0.15563560930701606,0.11246190896537117
4,12.5,-0.05372244830168595,0.0020500248910789434,0.04527720056583604,0.28734978919217075,0.05372244830168595,-0.2229050558296894
5,5.0,-0.0,0.01805934512915848,0.1343850628944991,0.10868909147180993,0.0,-0.37043185210242685
6,12.5,-0.0,0.00820245538219263,0.09056740794674777,0.18771699773849637,0.0,-0.19832565643573632
7,5.0,-0.0,0.01013566216199921,0.10067602575588296,0.058485889123021724,0.0,-0.15857470954585587
8,12.5,-0.03099487542569778,0.0031806188657732106,0.05639697567931467,0.07501888805316466,0.03099487542569778,-0.09062843408729249
9,5.0,-0.06143152012863652,0.0006982147866537592,0.026423754211954045,0.014776641965082096,0.06143152012863652,-0.08883431725128065
10,12.5,-0.0799477889877553,0.0001441366088446186,0.012005690685863043,0.03185374752859512,0.0799477889877553,-0.08909602800862823
1,5.0,-0.0930650912901921,0.0001377296063188247,0.01173582576211937,0.007737569186788292,0.0930650912901921,-0.09353456746965892
2,12.5,-0.09268988526340026,2.826170734752801e-5,0.005316174126900662,0.007677960374773837,0.09268988526340026,-0.09280150732986332
3,5.0,-0.09250552840495735,2.8346987628388867e-5,0.005324188917421025,0.003973350690711092,0.09250552840495735,-0.09266500753312058
4,12.5,-0.09239036171904152,1.5805620981818588e-5,0.003975628375718559,0.004453664293355699,0.09239036171904152,-0.09241441100551756
5,31.25,-0.09244768616143414,1.5605885233522916e-5,0.003950428487331839,0.003584437412478839,0.09244768616143414,-0.09192765456137722
6,78.125,-0.09246505688584192,1.2025683624253786e-6,0.0010966167801129884,0.010806156003740531,0.09246505688584192,-0.0922160006386389
7,31.25,-0.09219023538955563,1.3239445597499042e-6,0.0011506278980408498,0.013408831465085244,0.09219023538955563,-0.09225145716067612
8,12.5,-0.09194239911283056,2.1114408518041723e-5,0.004595041731915143,0.0076879118952747,0.09194239911283056,-0.09275007858858733
9,5.0,-0.0917328507669789,2.152431104889208e-5,0.004639430034917229,0.004085186785119788,0.0917328507669789,-0.09264913028752536
10,12.5,-0.09218582823082488,1.9777883340162678e-5,0.004447233223045839,0.0031260322622213084,0.09218582823082488,-0.092390663922221
11,31.25,-0.09232456785117092,1.8951162043046758e-6,0.001376632196450699,0.005553359244400638,0.09232456785117092,-0.09249897093135129
12,12.5,-0.09248791291321118,1.8306631483883994e-6,0.0013530200103429363,0.0030977279072625357,0.09248791291321118,-0.09248112906995996
13,5.0,-0.09252333951207158,1.737777994859896e-6,0.0013182480778897029,0.0020512097678984055,0.09252333951207158,-0.09247625864597657
14,2.0,-0.09254388132091627,1.722476664677632e-6,0.001312431584760757,0.0018740404734067077,0.09254388132091627,-0.09247635582527693
15,0.8,-0.09256137553928005,1.7446176852443066e-6,0.0013208397651662015,0.0017894054081152575,0.09256137553928005,-0.0924782416848354
1,5.0,-0.09284293168117476,3.486221243653918e-5,0.005904423124788668,0.002894660366126089,0.09284293168117476,-0.0928404373049168
2,12.5,-0.09281678544933974,8.600868618325039e-6,0.002932723754178876,0.00318036867906614,0.09281678544933974,-0.0926146442373837
3,31.25,-0.09271024972651642,4.026364852060935e-6,0.002006580387639861,0.002966609058407658,0.09271024972651642,-0.09244059989212397
