iter,is_last,ub_relx,lb_relx,b_lower,n_states
0,false,0.8000193071675061,-Inf,-Inf,138
1,false,0.8000157143145231,-Inf,-Inf,139
2,false,0.800012384259189,-Inf,-Inf,140
3,false,0.8000116582392536,-Inf,-Inf,141
4,false,0.8000107442164426,-Inf,-Inf,142
5,false,0.8000106489625741,-Inf,-Inf,143
6,false,0.8000097770401129,-Inf,-Inf,144
7,false,0.8000094476810435,-Inf,-Inf,145
8,false,0.8000089835314742,-Inf,-Inf,146
9,false,0.8000089569505933,-Inf,-Inf,147
10,false,0.8000085519264848,-Inf,-Inf,148
11,false,0.8000085172333585,-Inf,-Inf,149
12,false,0.8000084810247758,-Inf,-Inf,150
13,false,0.8000084708111124,-Inf,-Inf,151
14,false,0.8000084633096733,-Inf,-Inf,152
15,false,0.8000084325581449,-Inf,-Inf,153
16,false,0.800008411587108,-Inf,-Inf,154
17,false,0.8000084068756717,-Inf,-Inf,155
18,false,0.8000083841181362,-Inf,-Inf,156
19,false,0.8000083643368443,-Inf,-Inf,157
20,false,0.800008358791878,-Inf,-Inf,158
21,false,0.8000083436352547,-Inf,-Inf,159
22,false,0.800008300098197,-Inf,-Inf,160
23,false,0.800008289590468,-Inf,-Inf,161
24,false,0.800008271488783,-Inf,-Inf,162
25,false,0.8000081773697787,-Inf,-Inf,163
26,false,0.800008141807367,-Inf,-Inf,164
27,false,0.8000080779716439,-Inf,-Inf,165
28,false,0.8000080767012103,-Inf,-Inf,166
29,false,0.8000080763305051,-0.04184449318640371,-0.8418525695169088,167
30,false,0.8000077823482521,-0.04184449318640371,-Inf,168
31,false,0.8000077770311833,-0.04184449318640371,-Inf,169
32,false,0.8000077719521214,-0.04184449318640371,-Inf,170
33,false,0.8000077662347391,-0.04184449318640371,-Inf,171
34,false,0.8000077661718227,-0.04184449318640371,-Inf,172
35,false,0.8000077661061501,-0.04184449318640371,-Inf,173
36,false,0.8000077660295261,-0.04184449318640371,-Inf,174
37,false,0.8000077659523243,-0.04184449318640371,-Inf,175
38,false,0.8000077658480063,-0.04184449318640371,-Inf,176
39,false,0.8000077657106826,-0.04184449318640371,-Inf,177
40,false,0.8000077654963031,-0.03386290910940026,-0.8338706746057034,178
41,false,0.8000071217374416,-0.026928164100524787,-0.8269352858379664,179
42,false,0.8000055377650597,-0.026928164100524787,-Inf,180
43,false,0.8000055265785502,-0.026928164100524787,-Inf,181
44,false,0.8000055245962004,-0.026928164100524787,-Inf,182
45,false,0.8000055183403058,-0.026928164100524787,-Inf,183
46,false,0.8000055166411248,-0.026928164100524787,-Inf,184
47,false,0.8000055153039056,-0.01013216841110176,-0.8101376837150074,185
48,false,0.8000052154220799,-0.01013216841110176,-Inf,186
49,false,0.8000051909497882,-0.01013216841110176,-Inf,187
50,false,0.8000051742228298,-0.01013216841110176,-Inf,188
51,false,0.800005173998557,-0.01013216841110176,-Inf,189
52,false,0.80000517210182,-0.01013216841110176,-Inf,190
53,false,0.8000051664021728,-0.01013216841110176,-0.8164240960519502,191
54,false,0.8000051361556668,-0.01013216841110176,-Inf,192
55,false,0.8000051206400152,-0.01013216841110176,-Inf,193
56,false,0.8000051046088612,-0.01013216841110176,-Inf,194
57,false,0.8000050914986707,-0.01013216841110176,-Inf,195
58,false,0.8000050809252457,-0.01013216841110176,-0.8137554299829937,196
59,false,0.8000050126746114,-0.01013216841110176,-0.8155659864165374,197
60,false,0.8000049536604097,-0.01013216841110176,-Inf,198
61,false,0.8000049530186144,-0.01013216841110176,-Inf,199
62,false,0.8000049526047458,-0.01013216841110176,-Inf,200
63,false,0.8000049521852333,-0.01013216841110176,-Inf,201
64,false,0.8000049503147348,-0.01013216841110176,-0.8127393768328237,202
65,false,0.8000049469549937,-0.01013216841110176,-Inf,203
66,false,0.8000049464587307,-0.01013216841110176,-Inf,204
67,false,0.800004946139217,-0.01013216841110176,-Inf,205
68,false,0.8000049460027965,-0.01013216841110176,-Inf,206
69,false,0.8000049459457935,-0.01013216841110176,-Inf,207
70,false,0.8000049459215604,-0.01013216841110176,-Inf,208
71,false,0.8000049459011378,-0.01013216841110176,-Inf,209
72,false,0.8000049459071095,-0.01013216841110176,-Inf,210
73,false,0.8000049459034937,-0.01013216841110176,-Inf,211
74,false,0.800004945893064,-0.01013216841110176,-Inf,212
75,false,0.8000049459005836,-0.01013216841110176,-0.812076784833105,213
76,false,0.8000048737138719,-0.01013216841110176,-0.8107815702679658,214
77,false,0.8000046080435498,-0.01013216841110176,-Inf,215
78,false,0.8000045904917972,-0.01013216841110176,-Inf,216
79,false,0.8000045866134156,-0.01013216841110176,-Inf,217
80,false,0.8000045768153775,-0.01013216841110176,-Inf,218
81,false,0.8000045759040606,-0.01013216841110176,-Inf,219
82,false,0.8000045726564453,-0.01013216841110176,-Inf,220
83,false,0.8000045722445789,-0.01013216841110176,-Inf,221
84,false,0.8000045711570406,-0.01013216841110176,-Inf,222
85,false,0.8000045668380417,-0.01013216841110176,-Inf,223
86,false,0.8000045665809707,-0.01013216841110176,-Inf,224
87,false,0.8000045665651807,-0.01013216841110176,-Inf,225
88,false,0.8000045663735413,-0.01013216841110176,-Inf,226
89,false,0.8000045661589307,-0.01013216841110176,-Inf,227
90,false,0.8000045659073174,-0.01013216841110176,-Inf,228
91,false,0.8000045655867202,-0.01013216841110176,-Inf,229
92,false,0.8000045651386849,-0.01013216841110176,-0.8127838970689111,230
93,false,0.8000045214808105,-0.01013216841110176,-0.8121899524733291,231
94,false,0.800004518842108,-0.01013216841110176,-Inf,232
95,false,0.8000045077465181,-0.01013216841110176,-Inf,233
96,false,0.8000044876575849,-0.01013216841110176,-Inf,234
97,false,0.8000044660156305,-0.01013216841110176,-0.8122786307164538,235
98,false,0.8000043252048554,-0.01013216841110176,-Inf,236
99,false,0.80000426495839,-0.009619932615278826,-0.8096241975736689,237
100,false,0.8000042443736528,-0.009619932615278826,-Inf,238
101,false,0.8000042410373065,-0.009619932615278826,-Inf,239
102,false,0.8000042394275311,-0.009619932615278826,-Inf,240
103,false,0.8000042307144521,-0.009619932615278826,-Inf,241
104,false,0.8000042290450983,-0.009619932615278826,-Inf,242
105,false,0.8000042289587375,-0.009619932615278826,-Inf,243
106,false,0.8000042289088792,-0.009619932615278826,-Inf,244
107,false,0.8000042288794778,-0.009619932615278826,-Inf,245
108,false,0.8000042288627708,-0.009619932615278826,-Inf,246
109,false,0.8000042288531372,-0.009619932615278826,-Inf,247
110,false,0.8000042288445628,-0.009619932615278826,-Inf,248
111,false,0.8000042288531671,-0.009619932615278826,-Inf,249
112,false,0.8000042288413421,-0.009619932615278826,-Inf,250
113,false,0.8000042288393365,-0.009619932615278826,-Inf,251
114,false,0.8000042288137462,-0.009060840751382138,-0.8090650695651284,252
115,false,0.8000041812682229,-0.009060840751382138,-0.8094955033019385,253
116,false,0.80000406097366,-0.009060840751382138,-0.8100431491340317,254
117,false,0.8000038692398524,-0.009060840751382138,-0.8104407194690381,255
118,false,0.8000038404840003,-0.009060840751382138,-0.8113391501763284,256
119,false,0.8000038041643089,-0.009060840751382138,-Inf,257
120,false,0.8000038027757804,-0.009060840751382138,-Inf,258
121,false,0.8000037989971647,-0.009060840751382138,-Inf,259
122,false,0.8000037953419167,-0.009060840751382138,-0.8113185758414992,260
123,false,0.8000037520033483,-0.009060840751382138,-0.8119763613959654,261
124,false,0.8000037364012567,-0.009060840751382138,-Inf,262
125,false,0.8000037153234885,-0.009060840751382138,-Inf,263
126,false,0.8000037150457125,-0.009060840751382138,-Inf,264
127,false,0.8000037137497539,-0.009060840751382138,-0.8114156948568721,265
128,false,0.8000036990500091,-0.009060840751382138,-0.8123172166541333,266
0,false,0.8000016381112603,-Inf,-Inf,134
1,false,0.8000016345676138,-Inf,-Inf,135
2,false,0.8000016084938457,-Inf,-Inf,136
3,false,0.8000016082498567,-Inf,-Inf,137
4,false,0.8000016054883996,-Inf,-Inf,138
5,false,0.8000015849623323,-Inf,-Inf,139
6,false,0.800001559591309,-0.0015386899733798032,-0.8015402495646888,140
7,false,0.8000015311081816,-0.0015386899733798032,-0.802293723039038,141
8,false,0.8000015028760005,-0.0015386899733798032,-0.8020153120137993,142
9,false,0.8000014532413623,-0.0015386899733798032,-Inf,143
10,false,0.800001453062769,-0.0015386899733798032,-Inf,144
11,false,0.8000014528180185,-0.0015386899733798032,-Inf,145
12,false,0.8000014527504403,-0.0012727475739205962,-0.8012742003243609,146
13,false,0.8000014323050783,-0.0012727371816184663,-0.8012741694866967,147
14,false,0.8000014050752546,-0.0012727371816184663,-0.801855506621625,148
15,false,0.8000013837888557,-0.0012727371816184663,-Inf,149
16,false,0.800001381067849,-0.0012727371816184663,-Inf,150
17,false,0.800001379919333,-0.0012727371816184663,-Inf,151
18,false,0.8000013781187392,-0.0012727371816184663,-Inf,152
19,false,0.8000013698883668,-0.0012727371816184663,-0.8019427496714846,153
20,false,0.8000013339037266,-0.0012727371816184663,-Inf,154
21,false,0.8000013338688069,-0.0012727371816184663,-Inf,155
22,false,0.8000013337994984,-0.000959294778126285,-0.8009606285776247,156
23,false,0.8000013246760473,-0.000959294778126285,-0.8017754881266957,157
24,false,0.8000013219273913,-0.000959294778126285,-0.8024829310539103,158
25,false,0.8000013122814186,-0.000959294778126285,-0.8025269446281935,159
26,false,0.8000013113531902,-0.000959294778126285,-0.801596551038192,160
27,false,0.8000013077233701,-0.000959294778126285,-0.8018802012111803,161
28,false,0.8000012906381562,-0.000959294778126285,-0.8022749685764885,162
29,false,0.8000012883283211,-0.000959294778126285,-0.8013591750367077,163
30,false,0.800001285827737,-0.000959294778126285,-0.8020713971904158,164
31,false,0.8000012827147504,-0.000959294778126285,-0.8018061137814633,165
32,false,0.8000012812033634,-0.000959294778126285,-0.8021437431911567,166
33,false,0.8000012804129086,-0.000959294778126285,-0.8017441686557208,167
