iter,zeta,f,pen,residual,grad_norm,z,alm
1,1.0,-0.8640999506225199,0.30662673334518936,0.5537388674684028,0.0,0.8640999506225199,-0.5574732172773305
2,2.5,-0.4507048976753666,0.0557439616012409,0.23610159169569547,0.01740851489189225,0.4507048976753666,-0.22529871443503255
3,6.25,-0.2964053641837392,0.01515103302542003,0.1230895325582969,0.0527766813351736,0.2964053641837392,-0.1093040637011745
4,15.625,-0.21312353820084434,0.0015109724203345597,0.03887122869597203,0.20041567307256483,0.21312353820084434,-0.13191256855865546
5,6.25,-0.14485409982506792,0.0024345581406204097,0.04934124178231036,0.3889344244463448,0.14485409982506792,-0.22209976824837496
6,2.5,-0.07891390906623076,0.017952726622695505,0.1339877853488724,0.2523445097059162,0.07891390906623076,-0.25362180860000616
7,1.0,-0.0036404588036205838,0.05337744313354324,0.23103558845672076,0.10683306117021919,0.0036404588036205838,-0.2550859410824939
8,2.5,-0.08292148155180866,0.014869068727268711,0.1219387909045711,0.09580360926232522,0.08292148155180866,-0.18152899739482745
9,6.25,-0.14292924969271623,0.0019652638006361018,0.044331295950334026,0.013787722302011564,0.14292924969271623,-0.1667692891726288
10,15.625,-0.16933908882107518,0.00010883890454618827,0.010432588583193927,0.07551742766121174,0.16933908882107518,-0.17325587760731564
1,1.0,-0.17523606510802928,0.00034575745061945357,0.01859455432699191,0.005735707739122387,0.17523606510802928,-0.17919497712796906
2,2.5,-0.17610358451642288,0.00011247771507286498,0.010605551144229373,0.006908631283977924,0.17610358451642288,-0.17868373949356695
3,6.25,-0.17722138745745553,3.457820299294939e-5,0.005880323374862082,0.009401516395872197,0.17722138745745553,-0.17825459765576188
4,2.5,-0.1783584955658107,4.041014274748362e-5,0.006356897257898984,0.004353331265236637,0.1783584955658107,-0.17818962458892776
5,6.25,-0.1783608175607243,1.2081182888377347e-5,0.003475799604174174,0.00628034058497973,0.1783608175607243,-0.17803289431106117
6,2.5,-0.17814979516837925,1.6534782602060516e-5,0.004066298390681692,0.003474661090645871,0.17814979516837925,-0.17802189899315313
7,6.25,-0.17797940060828024,6.9295378436266244e-6,0.002632401535409563,0.0035765675241099066,0.17797940060828024,-0.1779606676113333
8,2.5,-0.17799222945976065,6.629138644588647e-6,0.002574711371122722,0.002044573898655912,0.17799222945976065,-0.1779468319410619
9,6.25,-0.17789175941709565,1.4979581272224236e-6,0.0012239109964464017,0.0034427664989974166,0.17789175941709565,-0.17794012004699852
10,2.5,-0.177890233767463,4.184476330706805e-6,0.0020455992595586276,0.0029557692761951865,0.177890233767463,-0.17795936043485275
11,1.0,-0.17789797104791702,3.997785375825022e-6,0.0019994462673012803,0.0016368422579529443,0.17789797104791702,-0.17795692209592157
12,2.5,-0.17792120312649407,2.1469936438695037e-6,0.0014652623123077668,0.0013454243308174023,0.17792120312649407,-0.17795181574401267
13,6.25,-0.17794201829132725,1.4012905081982192e-6,0.001183761170252775,0.0012522669817665545,0.17794201829132725,-0.17794342728571694
14,15.625,-0.17792172074170817,1.2879617932294049e-6,0.0011348840439575334,0.0014505363214826349,0.17792172074170817,-0.1779269449870788
15,6.25,-0.1780207986832953,5.565950753279231e-6,0.0023592267278240197,0.004145218271589858,0.1780207986832953,-0.17792713074381897
1,1.0,-0.17738487669371783,0.00013358551904228336,0.011557920186706748,0.0034266643449408717,0.17738487669371783,-0.17854689092925008
2,2.5,-0.17751111351690946,5.8620479005169044e-5,0.007656401178436841,0.005285976075058338,0.17751111351690946,-0.1783224116836654
3,6.25,-0.1777985843318356,1.713858774992523e-5,0.0041398777457704265,0.0070785161472142095,0.1777985843318356,-0.17809938119016083
4,2.5,-0.17784975629685842,1.8458751539080983e-5,0.004296364921544838,0.003950761592064197,0.17784975629685842,-0.17806271042497887
5,6.25,-0.17800309008703485,5.859001425910504e-6,0.002420537425017532,0.004704359837523343,0.17800309008703485,-0.17798811089116978
6,2.5,-0.17798989303293417,6.8140422536736506e-6,0.002610372052729965,0.003214417860397098,0.17798989303293417,-0.17798058769171343
7,6.25,-0.1779444909776682,5.304475544807449e-6,0.002303144707743621,0.002641173597057936,0.1779444909776682,-0.17794335171622844
8,15.625,-0.17792984110950053,9.281963980261527e-7,0.0009634294982125847,0.003297545235876264,0.17792984110950053,-0.17791811490718987
9,6.25,-0.17794013860685698,1.0697382980519836e-6,0.0010342815371319279,0.0027188837630635265,0.17794013860685698,-0.17792052376647413
10,2.5,-0.17794572392123348,8.812334065388077e-7,0.0009387403296646031,0.0020646370240107025,0.17794572392123348,-0.17792275269424848
11,1.0,-0.17794145825400057,9.306398053814594e-7,0.0009646967427028348,0.0019002982287731106,0.17794145825400057,-0.17792559364473662
12,0.4,-0.1779357478151079,1.0180878097527944e-6,0.0010090033745002018,0.0018091307983449773,0.1779357478151079,-0.17792858867391406
13,0.16000000000000003,-0.17792902898523968,1.137248283703749e-6,0.001066418437436145,0.0017474972011695823,0.17792902898523968,-0.17793156910611313
14,0.1,-0.17792137970820907,1.2822685643352727e-6,0.0011323729793382006,0.0017009521091888666,0.17792137970820907,-0.1779344230022033
15,0.1,-0.1779129575054576,1.4485417598795693e-6,0.0012035538043143603,0.0016614789365367638,0.1779129575054576,-0.17793710895283044
1,1.0,-0.1778966717850219,2.3210666686808644e-5,0.004817744979428513,0.0027686207448447218,0.1778966717850219,-0.17796431461600778
2,2.5,-0.17787773445126165,6.061075440764299e-6,0.0024619251493017205,0.0017267380893741507,0.17787773445126165,-0.17797042356484294
3,6.25,-0.17790328924020785,3.481257700622484e-6,0.0018658128793162738,0.0016210159721414888,0.17790328924020785,-0.17794961651689595
4,15.625,-0.17796984318031225,3.5354243197325614e-6,0.0018802724057254475,0.0017696314559596958,0.17796984318031225,-0.1778985957079184
5,39.0625,-0.17796971181405363,1.6166335075086579e-7,0.0004020738125653868,0.008137308352494238,0.17796971181405363,-0.17794855362568854
6,15.625,-0.17791882108259616,6.503671753514154e-7,0.0008064534551673863,0.005063139594528287,0.17791882108259616,-0.17794766197012984
7,6.25,-0.1778792578693271,8.233607121489095e-7,0.0009073922592511518,0.0023808170456704114,0.1778792578693271,-0.1779482342000939
8,2.5,-0.17787981847074594,2.1135284770372906e-7,0.0004597312777087601,0.0016126432083015294,0.17787981847074594,-0.17795107914282957
9,1.0,-0.17787422717220183,3.6645458902182584e-7,0.0006053549281387126,0.0013787044047596537,0.17787422717220183,-0.17795258876883138
10,0.4,-0.17786793960953276,6.076883876967982e-7,0.0007795437048022377,0.001219086724195665,0.17786793960953276,-0.17795382091929873
11,0.16000000000000003,-0.17786146021830906,9.198802735191664e-7,0.0009591038908893897,0.0011237720158834236,0.17786146021830906,-0.17795495043766899
12,0.4000000000000001,-0.17785817864577852,1.1447406491358842e-6,0.001069925534388204,0.001066588048515704,0.17785817864577852,-0.1779555276569051
13,1.0000000000000002,-0.17786271032774215,9.711224594014739e-7,0.0009854554578475243,0.0009703418413978468,0.17786271032774215,-0.1779552081159209
14,2.5000000000000004,-0.17788529656582983,3.2681938323225643e-7,0.0005716811902032954,0.0008390855536611841,0.17788529656582983,-0.17795486927195592
15,1.0000000000000002,-0.177900676026183,2.5567084386057727e-7,0.0005056390450317076,0.0007843217295626705,0.177900676026183,-0.17795527657485594
1,1.0,-0.17822597806661447,4.878036061080991e-6,0.002208627642016868,0.0012080621773938062,0.17822597806661447,-0.17796057451552538
2,2.5,-0.17815465020940577,3.8352313703522965e-6,0.001958374675681928,0.000950108454945095,0.17815465020940577,-0.17795304894000002
3,6.25,-0.17803207551076702,5.851357525438852e-7,0.0007649416661052561,0.0011831333860872933,0.17803207551076702,-0.17796102798325783
