iter,zeta,f,pen,residual,grad_norm,z,alm
1,5.0,-0.3532398532111412,0.044673611135575546,0.21136132838240668,0.0,0.3532398532111412,-0.12987179753326347
2,12.5,-0.20975513292888393,0.014083980360824078,0.11867594685033728,0.07848438751557701,0.20975513292888393,0.08298333391185099
3,31.25,-0.1281954566786249,0.001905112355534855,0.043647592780528634,0.26682004544517074,0.1281954566786249,0.037461387613309034
4,12.5,-0.04896463667581588,0.0023611848025765544,0.04859202406338466,0.253366966846779,0.04896463667581588,-0.1928711392972665
5,5.0,-0.0,0.013667719757509513,0.11690902342210166,0.09091361898039828,0.0,-0.2733667342103637
6,12.5,-0.01495454569834526,0.006453429429569316,0.08033323987969934,0.11156532191151006,0.01495454569834526,-0.14075996325972723
7,5.0,-0.020618265896019217,0.005515492536140065,0.07426636207691922,0.04990052473803007,0.020618265896019217,-0.10910861624317755
8,12.5,-0.05140827332696371,0.0014981375188773526,0.03870578146578819,0.038735549104530725,0.05140827332696371,-0.0789539161133271
9,31.25,-0.06857975100813729,0.0001675475571699548,0.012944016268915719,0.0357574621353299,0.06857975100813729,-0.07222797517413838
10,12.5,-0.08941119371897671,5.557161099626698e-5,0.007454636878900741,0.0860461006827218,0.08941119371897671,-0.08755716336903978
1,5.0,-0.08438651973747475,0.0001522074455654608,0.0123372381660346,0.005936757833904563,0.08438651973747475,-0.08717514058348082
2,12.5,-0.08478557735205654,3.203712223395456e-5,0.005660134471366786,0.0054753923138376615,0.08478557735205654,-0.08619792747365723
3,31.25,-0.08512209782729067,1.2879591965805943e-5,0.0035888148413934567,0.0053668591754214845,0.08512209782729067,-0.08555926935572389
4,12.5,-0.0858130533525778,8.037953386354128e-6,0.0028351284602913724,0.008752049965458569,0.0858130533525778,-0.08574185221450868
5,5.0,-0.08640957673746029,1.311416418347446e-5,0.003621348392998727,0.004879094766659249,0.08640957673746029,-0.08573835203163048
6,2.0,-0.08646107372669298,1.3264828800714758e-5,0.003642091267488331,0.0024823367521638593,0.08646107372669298,-0.08571358487095042
7,5.0,-0.08622713050101988,5.558744092832862e-6,0.0023576988978308623,0.0017256307202751112,0.08622713050101988,-0.08567854684943872
8,12.5,-0.08604914219675358,4.685429950430821e-6,0.0021645853992002303,0.0012534164842731691,0.08604914219675358,-0.08561917454068481
9,31.25,-0.085761741034389,1.2946029115780135e-6,0.0011378061836613534,0.0013862399038578775,0.085761741034389,-0.08559615989974265
10,78.125,-0.08562707740892851,2.462958666490694e-7,0.000496282043448148,0.0019322166486330197,0.08562707740892851,-0.08560553057639134
11,31.25,-0.08554939292714304,2.237778377793054e-7,0.00047305162274249244,0.0020047946759561533,0.08554939292714304,-0.08560376712184564
12,12.5,-0.08552256040347987,1.9082654179968033e-7,0.00043683697393842515,0.001888814850048775,0.08552256040347987,-0.085605348736735
13,5.0,-0.0855077505264524,1.8225538585795928e-7,0.0004269137920680934,0.0018180862384536106,0.0855077505264524,-0.08560781617390822
14,2.0,-0.0854928103976216,1.8551406794988944e-7,0.00043071344064225515,0.001776503721587552,0.0854928103976216,-0.08561066462716917
15,0.8,-0.08547771959923049,1.9902824801169345e-7,0.00044612582083050677,0.001742739476874824,0.08547771959923049,-0.08561360014516964
1,5.0,-0.08537642116990679,3.2065237970350143e-5,0.005662617589979933,0.002413421557117426,0.08537642116990679,-0.08601810547304249
2,12.5,-0.08534907088969977,8.12223256736079e-6,0.002849953081606922,0.00266017063266444,0.08534907088969977,-0.08579906147052208
3,31.25,-0.08555116670074389,2.783236891335749e-6,0.001668303596871909,0.003049406305561135,0.08555116670074389,-0.08565999271054275
4,12.5,-0.08568544190625266,2.968890369114295e-6,0.001723046827313261,0.0033800474998246306,0.08568544190625266,-0.08564558839320223
5,5.0,-0.08571690644025279,2.914915660279672e-6,0.0017073124085180405,0.00201682850025046,0.08571690644025279,-0.08563358489084917
6,12.5,-0.08568684431518228,2.505423814854664e-6,0.0015828530616752345,0.0016723761912260861,0.08568684431518228,-0.08560326880301304
7,31.25,-0.08564073238003489,2.2771345132490013e-6,0.001509017731257324,0.0015600092300095385,0.08564073238003489,-0.08553428278157502
8,78.125,-0.08565445945718708,5.663275776482754e-7,0.000752547392293851,0.0017480528162028821,0.08565445945718708,-0.08560420222036594
9,31.25,-0.08564680565516392,5.537905501280584e-7,0.0007441710489719808,0.006401223337890687,0.08564680565516392,-0.0856354164409024
10,12.5,-0.08563865800719098,6.985225647435863e-7,0.0008357766237120935,0.003694373236050598,0.08563865800719098,-0.08563319108397048
11,5.0,-0.08563643215642186,8.095743453076973e-7,0.0008997634940959193,0.00254367375880027,0.08563643215642186,-0.08563376525587788
12,2.0,-0.08563488449305921,9.415028467372743e-7,0.0009703106959821036,0.0021472783934332034,0.08563488449305921,-0.08563603843389327
13,0.8,-0.08563341825165328,1.0957453531119166e-6,0.001046778559730718,0.002002853750257917,0.08563341825165328,-0.08563906849878732
14,0.32000000000000006,-0.08563190159066084,1.27184402878106e-6,0.0011277606256564644,0.0019379318602677793,0.08563190159066084,-0.08564241365098202
15,0.12800000000000003,-0.08563030252063225,1.4690941746215637e-6,0.0012120619516433819,0.0019007961325978359,0.08563030252063225,-0.08564586847862576
1,5.0,-0.08569147243689053,3.853822840485667e-6,0.0019631155952937835,0.0007677609738861369,0.08569147243689053,-0.08569636707839627
2,12.5,-0.08569308105447246,3.604681817175047e-6,0.0018985999623867707,0.0005555886232632313,0.08569308105447246,-0.08565118045752172
3,31.25,-0.08568834180043396,9.23087178820683e-7,0.0009607742600739692,0.0009049880391652683,0.08568834180043396,-0.08563601490840395
4,78.125,-0.08560942611445936,9.069166569217945e-7,0.0009523217192324212,0.0011220733738401194,0.08560942611445936,-0.08557030463148194
5,195.3125,-0.08564969434441336,6.766009282811645e-7,0.0008225575531725209,0.004889641672847345,0.08564969434441336,-0.08545762408314686
6,78.125,-0.08562264451809791,1.7402348780753152e-6,0.0013191796231276903,0.004433765474791808,0.08562264451809791,-0.08579373516214836
7,31.25,-0.0856164237338134,1.8048083632223148e-6,0.0013434315625376362,0.0029270636984281666,0.0856164237338134,-0.08574396716398423
8,12.5,-0.08564018181392276,1.7506475375995962e-6,0.0013231203791037292,0.002010248740344074,0.08564018181392276,-0.08572557014367783
9,5.0,-0.08564959757766336,1.7730458320291272e-6,0.0013315576713117338,0.0018216057550894458,0.08564959757766336,-0.08571988157838654
10,2.0,-0.0856576474704028,1.8099259760227297e-6,0.001345334893631593,0.0017399734497120939,0.0856576474704028,-0.08571925424980917
11,0.8,-0.08566533698364,1.857735143967851e-6,0.0013629875802691127,0.0016947930761795908,0.08566533698364,-0.08572064542493621
12,2.0,-0.08566988431264796,1.9048794686640393e-6,0.0013801737095974693,0.0016658546562134291,0.08566988431264796,-0.08571954045208317
13,5.0,-0.08566632605664487,1.9311877574829598e-6,0.0013896718164670965,0.0016146051834843129,0.08566632605664487,-0.08571224164719429
14,12.5,-0.08564646368395099,1.9012338542553907e-6,0.001378852368549799,0.0015141385769695645,0.08564646368395099,-0.08569022000215788
15,31.25,-0.08561803640307632,1.7684294439048805e-6,0.0013298230874461763,0.0013553841605007126,0.08561803640307632,-0.0856363001754322
