iter,zeta,f,pen,residual,grad_norm,z,alm
1,1.0,-0.8645685348111348,0.3067924518530962,0.5538884832284349,0.0,0.8645685348111348,-0.5577760829580386
2,2.5,-0.4505759844158433,0.05567521211096559,0.23595595375189327,0.016151363030713208,0.4505759844158433,-0.2252450082609341
3,6.25,-0.29626984346473617,0.015097144782985225,0.12287043901193331,0.0490964419049077,0.29626984346473617,-0.10957802769368334
4,15.625,-0.21317844199053895,0.001513836867438205,0.03890805658778404,0.19045854358787762,0.21317844199053895,-0.13187852425749222
5,6.25,-0.1448963628700706,0.0024239576596653115,0.049233704508855634,0.3581262901346475,0.1448963628700706,-0.22207153051469286
6,2.5,-0.07874006653369665,0.01800000259885645,0.13416408833535318,0.22017264274356194,0.07874006653369665,-0.2536768693199148
7,1.0,-0.004450406078025128,0.05286451221207145,0.22992283969208333,0.09463492826395553,0.004450406078025128,-0.2549367568550721
8,2.5,-0.0831371487208093,0.014802757861328713,0.12166658481821832,0.08439015896730849,0.0831371487208093,-0.18168981729320527
9,6.25,-0.14312298593792494,0.0019480270588374414,0.044136459518604815,0.012150301721029665,0.14312298593792494,-0.16698731723897478
10,15.625,-0.16948331952204643,0.00010961813544654347,0.010469867976557464,0.07055912090370901,0.16948331952204643,-0.1734389867556491
1,1.0,-0.17644823745284696,0.00016801420374951896,0.012962029306768248,0.004613792578305132,0.17644823745284696,-0.17858628407877442
2,2.5,-0.17764562500373993,6.611184337602916e-5,0.00813091897487788,0.00660328003534692,0.17764562500373993,-0.17830184169782465
3,6.25,-0.17770421658573285,1.706861286325909e-5,0.004131417778833205,0.007677370948707976,0.17770421658573285,-0.17808012074694016
4,2.5,-0.17782584322764772,1.7078297998054918e-5,0.004132589744706691,0.0038996272060475537,0.17782584322764772,-0.17804395362700867
5,6.25,-0.17777363886327904,7.007654882997222e-6,0.0026471975526955334,0.004669165907569739,0.17777363886327904,-0.17797193798244898
6,2.5,-0.1781026201654125,7.257293206883085e-6,0.0026939363776605947,0.0029370620836271584,0.1781026201654125,-0.17796260513243942
7,6.25,-0.17790798832512345,5.4216179469197435e-6,0.0023284368032909426,0.002539345043719303,0.17790798832512345,-0.17792451647653162
8,15.625,-0.17788228283484786,1.4789021787935477e-6,0.0012161012206200385,0.0032783120170250322,0.17788228283484786,-0.17789372937952902
9,6.25,-0.17802977201099957,2.6602648621332417e-6,0.001631031839705541,0.0030153484059072017,0.17802977201099957,-0.17793451931087814
10,2.5,-0.17810601203631674,2.8400062889106585e-6,0.0016852318205251937,0.0023314583606014344,0.17810601203631674,-0.17793336254282038
11,1.0,-0.178140323769711,3.1745244479140097e-6,0.0017817195199901722,0.001612692133847165,0.178140323769711,-0.1779322700964276
12,2.5,-0.178072277593109,2.2113308037125016e-6,0.0014870544050950192,0.0013578888469074942,0.178072277593109,-0.1779270723182215
13,6.25,-0.17794884950481885,1.2210045222898258e-6,0.0011049907340289445,0.0012643572307964746,0.17794884950481885,-0.17792042972431937
14,15.625,-0.17809140117538066,1.271399906405467e-6,0.0011275637039234044,0.001898522250728174,0.17809140117538066,-0.1779063170063553
15,6.25,-0.17766549476696525,5.7701903589548876e-6,0.002402122053300974,0.004306018040099748,0.17766549476696525,-0.17790540527647858
1,1.0,-0.1782272767379742,4.217365276460438e-5,0.0064941244802209,0.0030186587527696066,0.1782272767379742,-0.1780785447482975
2,2.5,-0.1778656633712115,1.8391772365644834e-5,0.004288562972097394,0.002902446298366859,0.1778656633712115,-0.1780395986145575
3,6.25,-0.1777029837272228,4.9415924108281674e-6,0.002222969277976681,0.004036842221537722,0.1777029837272228,-0.17798365637388314
4,2.5,-0.1778190953095143,5.333339175110171e-6,0.002309402341539943,0.0028689195013615033,0.1778190953095143,-0.17797916917985956
5,6.25,-0.17784095750560544,4.1982322218162795e-6,0.0020489588140849193,0.00239862742540641,0.17784095750560544,-0.17795054401214033
6,15.625,-0.17792793895664935,1.598538651515124e-6,0.0012643332834008302,0.0027860970376024333,0.17792793895664935,-0.1779197965449869
7,6.25,-0.17804619756908593,1.5907241475508557e-6,0.001261239131787012,0.0023573738695570074,0.17804619756908593,-0.17791674459964102
8,2.5,-0.17798735924239853,1.2614973289198451e-6,0.0011231639813134345,0.0019312820846200428,0.17798735924239853,-0.1779177430318423
9,1.0,-0.1779775670323122,1.1668284214964302e-6,0.0010801983250757381,0.001878394253376522,0.1779775670323122,-0.17792037234030228
10,0.4,-0.17797219346690563,1.1131283057551096e-6,0.0010550489589375032,0.0018308566507078254,0.17797219346690563,-0.177923455574323
11,0.16000000000000003,-0.17796802208760085,1.0925153647946225e-6,0.0010452345979705335,0.001785392101783047,0.17796802208760085,-0.17792660073738392
12,0.1,-0.17796429909223438,1.0989128873544732e-6,0.0010482904594407377,0.0017439897902918882,0.17796429909223438,-0.17792964073385759
13,0.1,-0.17796099133740367,1.1279234867931838e-6,0.00106203742250129,0.0017067202856311352,0.17796099133740367,-0.17793253199018355
14,0.1,-0.17795817138582204,1.1777924636783612e-6,0.0010852614724933163,0.0016725107713264195,0.17795817138582204,-0.17793528886883508
15,0.1,-0.1779558989238476,1.2467872523616172e-6,0.0011165962799336282,0.001640680893838737,0.1779558989238476,-0.1779379219967056
1,1.0,-0.17782166993689802,1.8103490032635112e-5,0.004254819623983502,0.0010098123980978304,0.17782166993689802,-0.17797698382534077
2,2.5,-0.17778483448157595,1.533482882379436e-5,0.003915970993737614,0.000930965605589887,0.17778483448157595,-0.1779384584608261
3,6.25,-0.17775868872466288,1.2028990467107543e-6,0.001096767544519236,0.0023827276837909525,0.17775868872466288,-0.17794965322489892
4,2.5,-0.1779487975962938,1.0131914811924457e-6,0.0010065741309970397,0.0020847148294201165,0.1779487975962938,-0.17795273482071033
5,1.0,-0.17805939003142912,1.2051600597752304e-6,0.0010977978228140328,0.0018043224256694417,0.17805939003142912,-0.17795505982880475
6,0.4,-0.1781517177944379,1.5016743469421826e-6,0.0012254282300249912,0.0016070827850565772,0.1781517177944379,-0.17795719899294635
7,0.16000000000000003,-0.17823725950371466,1.8807946900002781e-6,0.001371420683087534,0.0014807659788088335,0.17823725950371466,-0.17795920958069275
8,0.4000000000000001,-0.17830498608339504,2.205657638457079e-6,0.0014851456623702199,0.0014044262963689542,0.17830498608339504,-0.1779602424441196
9,1.0000000000000002,-0.17832528187736582,2.190263188074364e-6,0.0014799537790331034,0.0013107215876691268,0.17832528187736582,-0.17795941667966103
