iter,is_last,ub_relx,lb_relx,b_lower,n_states
111,false,0.9407395303413092,-Inf,-Inf,624
112,false,0.9405224524967786,-Inf,-Inf,625
113,false,0.9404609994092566,-Inf,-Inf,626
114,false,0.9403981465642048,-Inf,-Inf,627
115,false,0.9403318175315926,-Inf,-Inf,628
116,false,0.9402719278168744,-Inf,-Inf,629
117,false,0.9401368274707199,-Inf,-Inf,630
118,false,0.9399786511515313,-Inf,-Inf,631
119,false,0.9398071746952846,-Inf,-Inf,632
120,false,0.9396916606597506,-Inf,-Inf,633
121,false,0.9396490609753311,-Inf,-Inf,634
122,false,0.9395205460424392,-Inf,-Inf,635
123,false,0.939453645521694,-Inf,-Inf,636
124,false,0.9393024041613787,-Inf,-Inf,637
125,false,0.9391887441834454,-Inf,-Inf,638
126,false,0.9390915354920502,-Inf,-Inf,639
127,false,0.9390362118453546,-Inf,-Inf,640
128,false,0.9389902153018193,-Inf,-Inf,641
129,false,0.9389227692231575,-Inf,-Inf,642
130,false,0.9388363919152931,-Inf,-Inf,643
131,false,0.9388245429805668,-Inf,-Inf,644
132,false,0.9386832895412185,-Inf,-Inf,645
133,false,0.9386022956562192,-Inf,-Inf,646
134,false,0.938528367858077,-Inf,-Inf,647
135,false,0.9384137626315249,-Inf,-Inf,648
136,false,0.9382853875603753,-Inf,-Inf,649
137,false,0.9381842568427285,-Inf,-Inf,650
138,false,0.9380575580472712,-Inf,-Inf,651
139,false,0.9376642525185827,-Inf,-Inf,652
140,false,0.9373859873449208,-Inf,-Inf,653
141,false,0.9372010848664283,-Inf,-Inf,654
142,false,0.9369432770951858,-Inf,-Inf,655
143,false,0.9368998578402343,-Inf,-Inf,656
144,false,0.9367894735295548,-Inf,-Inf,657
145,false,0.9366384933687153,-Inf,-Inf,658
146,false,0.9362365532804005,-Inf,-Inf,659
147,false,0.9362164197078222,-Inf,-Inf,660
148,false,0.9361383781398052,-Inf,-Inf,661
149,false,0.9360148462281038,-Inf,-Inf,662
150,false,0.9358467234778602,-Inf,-Inf,663
151,false,0.9357931367776854,-Inf,-Inf,664
152,false,0.9356108801887191,-Inf,-Inf,665
153,false,0.9353960271623869,-Inf,-Inf,666
154,false,0.9353146683709612,-Inf,-Inf,667
155,false,0.9352505985185051,-Inf,-Inf,668
156,false,0.935147955696672,-Inf,-Inf,669
157,false,0.9350903244320258,-Inf,-Inf,670
158,false,0.9350103890537576,-Inf,-Inf,671
159,false,0.9348781549685655,-Inf,-Inf,672
160,false,0.9348651341790766,-Inf,-Inf,673
161,false,0.9347567459059671,-Inf,-Inf,674
162,false,0.9347077986424976,-Inf,-Inf,675
163,false,0.9345822254611834,-Inf,-Inf,676
164,false,0.9345392479020986,-Inf,-Inf,677
165,false,0.9344897337035803,-Inf,-Inf,678
166,false,0.9344752536854861,-Inf,-Inf,679
167,false,0.9343627538131438,-Inf,-Inf,680
168,false,0.9343206544401779,-Inf,-Inf,681
169,false,0.9341929916239429,-Inf,-Inf,682
170,false,0.9340806464160065,-Inf,-Inf,683
171,false,0.9340383563828125,-Inf,-Inf,684
172,false,0.9338138206007145,-Inf,-Inf,685
173,false,0.9337654082411829,-Inf,-Inf,686
174,false,0.9337184103837863,-Inf,-Inf,687
175,false,0.9336842256605778,-Inf,-Inf,688
176,false,0.9335911266114922,-Inf,-Inf,689
177,false,0.9335540735979251,-Inf,-Inf,690
178,false,0.9335044989980245,-Inf,-Inf,691
179,false,0.9333348804986005,-Inf,-Inf,692
180,false,0.9332440916457019,-Inf,-Inf,693
181,false,0.9331739336853432,-Inf,-Inf,694
182,false,0.9331328422401555,-Inf,-Inf,695
183,false,0.9330173155314718,-Inf,-Inf,696
184,false,0.9329910713667973,-Inf,-Inf,697
185,false,0.9328761275945728,-Inf,-Inf,698
186,false,0.9328175868526849,-Inf,-Inf,699
187,false,0.9327004652119915,-Inf,-Inf,700
188,false,0.9326504808587588,-Inf,-Inf,701
189,false,0.9326068982834875,-Inf,-Inf,702
190,false,0.9325200805379545,-Inf,-Inf,703
191,false,0.9324238595522171,-Inf,-Inf,704
192,false,0.9324079687881901,-Inf,-Inf,705
193,false,0.9323892756411734,-Inf,-Inf,706
194,false,0.9322699113298889,-Inf,-Inf,707
195,false,0.9321870681494039,-Inf,-Inf,708
196,false,0.9320728278309737,-Inf,-Inf,709
197,false,0.9320230602571344,-Inf,-Inf,710
198,false,0.9319162949620918,-Inf,-Inf,711
199,false,0.9319065174018716,-Inf,-Inf,712
200,false,0.9318739440841672,-Inf,-Inf,713
201,false,0.9317986371583157,-Inf,-Inf,714
202,false,0.9317625753359527,-Inf,-Inf,715
203,false,0.9317306952805844,-Inf,-Inf,716
204,false,0.9317168498700228,-Inf,-Inf,717
205,false,0.9316834650241212,-Inf,-Inf,718
206,false,0.9316354416962236,-Inf,-Inf,719
207,false,0.9315724210250148,-Inf,-Inf,720
208,false,0.9315259944284094,-Inf,-Inf,721
209,false,0.9314821761178042,-Inf,-Inf,722
210,false,0.9314049773030401,-Inf,-Inf,723
211,false,0.931335143105455,-Inf,-Inf,724
212,false,0.9312853997559364,-Inf,-Inf,725
213,false,0.9312246014363383,-Inf,-Inf,726
214,false,0.93106043026726,-Inf,-Inf,727
215,false,0.9309503316577336,-Inf,-Inf,728
216,false,0.9308172394127437,-Inf,-Inf,729
217,false,0.9306096698726591,-Inf,-Inf,730
218,false,0.9305360878245931,-Inf,-Inf,731
219,false,0.9304332549707647,-Inf,-Inf,732
220,false,0.9303487416431313,-Inf,-Inf,733
221,false,0.9303032986617457,-Inf,-Inf,734
222,false,0.9302526303582329,-Inf,-Inf,735
223,false,0.9301557273652055,-Inf,-Inf,736
224,false,0.9301371429619915,-Inf,-Inf,737
225,false,0.9300764291287141,-Inf,-Inf,738
226,false,0.9299859599836292,-Inf,-Inf,739
227,false,0.9299275210684628,-Inf,-Inf,740
228,false,0.9298143179869216,-Inf,-Inf,741
229,false,0.9297063289391114,-Inf,-Inf,742
230,false,0.9295897064275129,-Inf,-Inf,743
231,false,0.929509329160292,-Inf,-Inf,744
232,false,0.9294543661659391,-Inf,-Inf,745
233,false,0.9293872404883488,-Inf,-Inf,746
234,false,0.9293341445927692,-Inf,-Inf,747
235,false,0.9292907172192897,-Inf,-Inf,748
236,false,0.9292610420462789,-Inf,-Inf,749
237,false,0.9292352010628435,-Inf,-Inf,750
238,false,0.9292274705325145,-Inf,-Inf,751
239,false,0.9292162205605101,-Inf,-Inf,752
240,false,0.9291796282504305,-Inf,-Inf,753
241,false,0.9291297754892387,-Inf,-Inf,754
242,false,0.9290642783814803,-Inf,-Inf,755
243,false,0.9289754235198459,-Inf,-Inf,756
244,false,0.9288353109426674,-Inf,-Inf,757
245,false,0.928766965806106,-Inf,-Inf,758
246,false,0.9287180253840643,-Inf,-Inf,759
247,false,0.9286564751147455,-Inf,-Inf,760
248,false,0.928635865140898,-Inf,-Inf,761
249,false,0.9285058355824355,-Inf,-Inf,762
250,false,0.9284814365591997,-Inf,-Inf,763
251,false,0.9284446160369138,-Inf,-Inf,764
252,false,0.9283775458818345,-Inf,-Inf,765
253,false,0.9283250314562547,-Inf,-Inf,766
254,false,0.9282403950140976,-Inf,-Inf,767
255,false,0.928136597182196,-Inf,-Inf,768
256,false,0.9280665222573911,-Inf,-Inf,769
257,false,0.9279576034168971,-Inf,-Inf,770
258,false,0.9279156045721999,-Inf,-Inf,771
259,false,0.9278766065644688,-Inf,-Inf,772
260,false,0.9278110662427356,-Inf,-Inf,773
261,false,0.9277705572327379,-Inf,-Inf,774
262,false,0.9277327433351038,-Inf,-Inf,775
263,false,0.9276978275335396,-Inf,-Inf,776
264,false,0.9276509721994293,-Inf,-Inf,777
265,false,0.9276269639787811,-Inf,-Inf,778
266,false,0.927573801121204,-Inf,-Inf,779
267,false,0.927510007632285,-Inf,-Inf,780
268,false,0.9274418962135005,-Inf,-Inf,781
269,false,0.9274250751183085,-Inf,-Inf,782
270,false,0.9274164195483136,-Inf,-Inf,783
