iter,zeta,f,pen,residual,grad_norm,z,alm
1,10.0,-0.3465644860998454,0.05775806295638247,0.2403290722246946,0.0,0.3465644860998454,0.2310161434639793
2,25.0,-0.1953950684575292,0.017210199300373024,0.13118764919142742,0.31221234889697874,0.1953950684575292,0.5399736579368025
3,10.0,-0.019954804379670746,0.003077191606158944,0.05547244005953717,0.24341527568957724,0.019954804379670746,-0.2116347048238549
4,4.0,-0.0,0.011551863407315946,0.10747959530681135,0.03409294654060979,0.0,-0.30114288800706207
5,10.0,-0.0,0.006248229841013898,0.07904574524295345,0.04915430527225195,0.0,-0.2167057390680444
6,25.0,-0.0,0.002658845277439371,0.051563992062672676,0.08627997241362297,0.0,-0.12239919972366056
7,10.0,-0.0,0.0037765420612552295,0.06145357647244975,0.041901023055348825,0.0,-0.12226034662672984
8,25.0,-0.004518883712054825,0.0014675266797510357,0.03830831084439819,0.06987710126012228,0.004518883712054825,-0.06801422424839439
9,10.0,-0.0046956494562550265,0.0019526820704594107,0.04418916236431067,0.037414845720179134,0.0046956494562550265,-0.06580700314658026
10,25.0,-0.017869098288716564,0.0006484180770636707,0.025464054607694953,0.04228139276014041,0.017869098288716564,-0.03922151556248214
11,10.0,-0.03178009273937428,0.0007167277341955206,0.026771771218870085,0.028950949303703996,0.03178009273937428,-0.04638961973249058
12,25.0,-0.039070165050746924,0.00014623615243687232,0.01209281408262247,0.029668807785604816,0.039070165050746924,-0.03946841656851757
13,10.0,-0.04912186472907827,0.000562144305941263,0.023709582576276263,0.03899733795064045,0.04912186472907827,-0.04965361301430412
14,4.0,-0.06270483674265614,0.0013811947384902812,0.037164428402577124,0.03394188743035207,0.06270483674265614,-0.05103535602637615
15,10.0,-0.0595080753476678,0.0005541972094460954,0.023541393532373896,0.026802062125597683,0.0595080753476678,-0.04532304427597263
16,25.0,-0.05374487705029227,0.0002589617766576336,0.016092289354148265,0.01615256100988979,0.05374487705029227,-0.03815234834846036
17,62.5,-0.048654398096344906,0.000180220527670057,0.01342462393030274,0.04952792077813106,0.048654398096344906,-0.034354592092206135
