iter,zeta,f,pen,residual,grad_norm,z,alm
1,10.0,-0.1889946784723239,0.04145026228031757,0.2035933748438725,0.0,0.1889946784723239,0.22550794433085178
2,25.0,-0.09870469873634144,0.003584297580534687,0.059869003503772195,0.15300098417429772,0.09870469873634144,0.024929425491087356
3,10.0,-0.041580031525222876,0.0036359624990812836,0.060298942769183635,0.16099485987751833,0.041580031525222876,-0.13478836866428895
4,4.0,-0.002349714115618745,0.01905853155134387,0.1380526405084085,0.07018491525968588,0.002349714115618745,-0.1780872532801869
5,10.0,-0.02093147973802599,0.004226498934807359,0.06501152924526048,0.06094193555788532,0.02093147973802599,-0.07688198759588269
6,25.0,-0.03486151949377277,0.0006141840308490782,0.024782736548837343,0.030513310397796603,0.03486151949377277,-0.04608977596215626
7,62.5,-0.0388089344607113,0.0001108918125193751,0.010530518150564818,0.025666004018104933,0.0388089344607113,-0.03452764084279339
8,25.0,-0.04845468749692292,0.0003489330452568001,0.018679749603696515,0.03482964396520254,0.04845468749692292,-0.04816803312307818
9,10.0,-0.05730143375605422,0.000982707428007572,0.031348164667290686,0.031212436400511995,0.05730143375605422,-0.05695920596462105
10,25.0,-0.055068967789248996,0.0002962454661629814,0.017211782771200123,0.02397350438178234,0.055068967789248996,-0.04819234938091142
11,10.0,-0.056923453319076195,0.0008965039808531186,0.029941676320024545,0.02622291356716609,0.056923453319076195,-0.05630053946704023
12,25.0,-0.054092855649740465,0.00027739430975191816,0.016655158652859426,0.016034772945892523,0.054092855649740465,-0.04623043377279502
13,62.5,-0.051819917982861605,0.00019792359021324213,0.014068531913929119,0.033409503821650574,0.051819917982861605,-0.041227319836757766
14,25.0,-0.05180412814085011,0.0004903311677665879,0.022143422675065114,0.047036477142375306,0.05180412814085011,-0.05350740324181058
15,10.0,-0.05442505426431943,0.0013102928284009516,0.03619796718603065,0.03497711115165233,0.05442505426431943,-0.060333357720613774
16,25.0,-0.05316065211485347,0.0002394746912449097,0.015474969830177689,0.019370316238025227,0.05316065211485347,-0.04884394643810124
17,10.0,-0.05413041354132228,0.0008757246117138826,0.02959264455424494,0.03030158643942016,0.05413041354132228,-0.05742532575891353
18,25.0,-0.05342740023429098,0.0002950522124317245,0.017177083932720494,0.020367617579191172,0.05342740023429098,-0.04732694668365605
19,62.5,-0.051075214486511436,0.00018930426441671915,0.013758788624610786,0.013663664969411526,0.051075214486511436,-0.033492095671907876
20,156.25,-0.04779028055075775,0.0001649557553557359,0.01284351024275435,0.0733689140818996,0.04779028055075775,-0.024399553449690543
